#category	#chromosome	#contig_1	#contig_2	#window	#interactions per 100kb
proximal_heterochromatin	centromere_3	3R_5	tig00000039	0-42086	826.1506434728768
proximal_heterochromatin	centromere_3	3R_5	Contig86	0-30087	409.7517131614288
proximal_heterochromatin	centromere_3	3R_5	id=139401_0	0-11405	388.46530477233387
distal_heterochromatin	centromere_3	3R_5	3L_10	1300000-1333836	378.5840553947469
proximal_heterochromatin	centromere_3	3R_5	3R_2	0-3452	362.71228029163984
proximal_heterochromatin	centromere_3	3R_5	3R_1	0-27264	317.9381411413379
proximal_heterochromatin	centromere_3	3R_5	3R_3	0-13549	284.3429356845503
proximal_heterochromatin	centromere_3	3R_5	tig00022795	0-30745	260.011938651787
proximal_heterochromatin	centromere_3	3R_5	3Cen_50_D1686_1	0-5642	256.06361455977304
inter-proximal_heterochromatin	centromere_3	3R_5	Contig142	0-50000	235.0063085709883
proximal_heterochromatin	centromere_3	3R_5	3Cen_36_D1605_2	0-9663	229.24799756434172
proximal_heterochromatin	centromere_3	3R_5	3Cen_36_D1605_1	0-27124	181.09486452504106
proximal_heterochromatin	centromere_3	3R_5	3R_4	0-2314	124.86697608869832
proximal_heterochromatin	centromere_3	3R_5	3Cen_27_D1777	0-11973	112.61979891894178
proximal_heterochromatin	centromere_3	3R_5	3R_6	0-45849	100.83262279892618
proximal_heterochromatin	centromere_3	3R_5	3Cen_50_D1686_2	0-14583	92.4636119081458
proximal_heterochromatin	centromere_3	3R_5	Contig11	300000-338657	87.20263163569923
distal_heterochromatin	centromere_3	3R_5	3_scaffold1	2750000-2800000	50.08331166266963
distal_heterochromatin	centromere_3	3R_5	3_scaffold1	2800000-2808589	33.64095734884712
distal_heterochromatin	centromere_3	3R_5	3_scaffold1	2250000-2300000	32.74678070251476
proximal_heterochromatin	centromere_3	3R_5	3R_10	0-36246	31.88679387179252
proximal_heterochromatin	centromere_3	3R_5	3R_9	0-50000	30.820499484719775
distal_heterochromatin	centromere_3	3R_5	3_scaffold1	2600000-2650000	30.820499484719775
euchromatin	centromere_3	3R_5	X_7	100000-150000	30.820499484719775
proximal_heterochromatin	centromere_3	3R_5	Contig11	0-50000	28.89421826692479
inter-proximal_heterochromatin	centromere_3	3R_5	Contig96	0-19727	24.411735410794673
proximal_heterochromatin	centromere_3	3R_5	id=102159_0	0-20774	23.181395227146744
distal_heterochromatin	centromere_3	3R_5	3_scaffold1	2500000-2550000	23.11537461353983
proximal_heterochromatin	centromere_3	3R_5	Contig11	200000-250000	21.189093395744845
proximal_heterochromatin	centromere_3	3R_5	Contig11	250000-300000	21.189093395744845
