#category	#chromosome	#contig_1	#contig_2	#window	#interactions per 100kb
proximal_heterochromatin	centromere_3	3R_5	tig00000039	0-42086	5224.659055536227
distal_heterochromatin	centromere_3	3R_5	3L_10	1300000-1333836	2985.974993301425
proximal_heterochromatin	centromere_3	3R_5	Contig86	0-30087	1555.7760359098002
inter-proximal_heterochromatin	centromere_3	3R_5	Contig142	0-50000	1398.4801641191598
proximal_heterochromatin	centromere_3	3R_5	id=139401_0	0-11405	1393.4081584225019
proximal_heterochromatin	centromere_3	3R_5	tig00022795	0-30745	1143.4259952759307
proximal_heterochromatin	centromere_3	3R_5	3Cen_50_D1686_1	0-5642	495.0563214822278
euchromatin	centromere_3	3R_5	X_7	100000-150000	394.8876496479721
proximal_heterochromatin	centromere_3	3R_5	3R_1	0-27264	314.40549512865636
proximal_heterochromatin	centromere_3	3R_5	3Cen_36_D1605_2	0-9663	308.9864314997649
proximal_heterochromatin	centromere_3	3R_5	3Cen_27_D1777	0-11973	305.68231135141343
proximal_heterochromatin	centromere_3	3R_5	3R_4	0-2314	291.35627754029605
proximal_heterochromatin	centromere_3	3R_5	3Cen_36_D1605_1	0-27124	223.70542088387427
proximal_heterochromatin	centromere_3	3R_5	3R_2	0-3452	223.2075571025476
proximal_heterochromatin	centromere_3	3R_5	3R_6	0-45849	220.571362372651
proximal_heterochromatin	centromere_3	3R_5	3R_3	0-13549	206.14862837129894
centromere	centromere_3	3R_5	Contig119	0-50000	202.25952786847353
inter-proximal_heterochromatin	centromere_3	3R_5	Contig102	0-4967	193.90791401197765
centromere	centromere_3	3R_5	Contig119	50000-93914	190.812116805761
distal_heterochromatin	centromere_3	3R_5	3_scaffold1	2250000-2300000	159.88134107698383
proximal_heterochromatin	centromere_3	3R_5	Contig11	300000-338657	159.4562407052786
distal_heterochromatin	centromere_3	3R_5	3_scaffold1	2200000-2250000	138.692247681239
distal_heterochromatin	centromere_3	3R_5	3_scaffold1	2750000-2800000	134.839685245649
distal_heterochromatin	centromere_3	3R_5	3_scaffold1	1200000-1250000	123.2819979388791
distal_heterochromatin	centromere_3	3R_5	3_scaffold1	2050000-2100000	117.50315428549415
distal_heterochromatin	centromere_3	3R_5	3_scaffold1	1950000-2000000	107.8717481965192
distal_heterochromatin	centromere_3	3R_5	3_scaffold1	2550000-2600000	107.8717481965192
inter-proximal_heterochromatin	centromere_3	3R_5	Contig95	0-17404	105.14635468313242
distal_heterochromatin	centromere_3	3R_5	3_scaffold1	2650000-2700000	102.09290454313425
distal_heterochromatin	centromere_3	3R_5	3_scaffold1	1800000-1850000	98.24034210754428
proximal_heterochromatin	centromere_3	3R_5	Contig11	0-50000	96.3140608897493
distal_heterochromatin	centromere_3	3R_5	3_scaffold1	2600000-2650000	90.53521723636433
proximal_heterochromatin	centromere_3	3R_5	id=67822_0	0-14294	87.59499031528898
distal_heterochromatin	centromere_3	3R_5	3_scaffold2	450000-500000	86.68265480077436
distal_heterochromatin	centromere_3	3R_5	3_scaffold1	1650000-1700000	82.83009236518438
distal_heterochromatin	centromere_3	3R_5	3_scaffold1	2500000-2550000	80.9038111473894
distal_heterochromatin	centromere_3	3R_5	3_scaffold1	200000-250000	78.97752992959443
distal_heterochromatin	centromere_3	3R_5	3_scaffold1	2800000-2808589	78.49556714730993
distal_heterochromatin	centromere_3	3R_5	3_scaffold1	2150000-2200000	75.12496749400445
inter-proximal_heterochromatin	centromere_3	3R_5	Contig96	0-19727	73.23520623238402
distal_heterochromatin	centromere_3	3R_5	3_scaffold1	2300000-2350000	73.19868627620947
distal_heterochromatin	centromere_3	3R_5	3_scaffold1	250000-300000	73.19868627620947
distal_heterochromatin	centromere_3	3R_5	3L_10	550000-600000	71.27240505841448
distal_heterochromatin	centromere_3	3R_5	3_scaffold1	1100000-1150000	71.27240505841448
distal_heterochromatin	centromere_3	3R_5	3L_10	1150000-1200000	69.3461238406195
distal_heterochromatin	centromere_3	3R_5	3_scaffold1	0-50000	67.4198426228245
distal_heterochromatin	centromere_3	3R_5	3_scaffold1	1900000-1950000	67.4198426228245
inter-proximal_heterochromatin	centromere_3	3R_5	Contig103	0-7153	67.32424219890207
distal_heterochromatin	centromere_3	3R_5	3_scaffold1	1850000-1900000	65.49356140502952
distal_heterochromatin	centromere_3	3R_5	3_scaffold1	2450000-2500000	65.49356140502952
distal_heterochromatin	centromere_3	3R_5	3_scaffold1	2350000-2400000	63.56728018723454
distal_heterochromatin	centromere_3	3R_5	3_scaffold1	1750000-1800000	61.64099896943955
proximal_heterochromatin	centromere_3	3R_5	id=102159_0	0-20774	60.27162759058153
proximal_heterochromatin	centromere_3	3R_5	3Cen_50_D1686_2	0-14583	59.4408933695223
distal_heterochromatin	centromere_3	3R_5	3L_10	1250000-1300000	57.78843653384958
distal_heterochromatin	centromere_3	3R_5	3_scaffold1	850000-900000	57.78843653384958
distal_heterochromatin	centromere_3	3R_5	3_scaffold2	650000-700000	57.78843653384958
distal_heterochromatin	centromere_3	3R_5	3_scaffold1	2100000-2150000	55.86215531605459
distal_heterochromatin	centromere_3	3R_5	3_scaffold1	1250000-1300000	53.9358740982596
distal_heterochromatin	centromere_3	3R_5	3_scaffold2	100000-150000	53.9358740982596
