order	tip	color_code	name	category
1	Jockey_3_Dsim	5		16
2	Jockey_3.Contig135.294778_296933.2155	2		21
3	Jockey_3.Contig135.291155_293318.2163	2		21
4	Jockey_3.Contig135.287770_289934.2164	2		21
5	Jockey_3.Contig135.328889_330523.1634__reversed_	2		21
6	Jockey_3.Contig5.367184_370166.2982__reversed_	2		16
7	G2.Contig5.372020_373428.1408__reversed_	4		21
8	Jockey_3.Contig135.297914_302073.4159	2		16
9	Jockey_3.Contig5.323602_327791.4189__reversed_	2		16
10	G2.Contig119.42719_43720.1001__reversed_	4		22
11	G2.Contig119.60765_62054.1289	4		22
12	Jockey_3.Y_scaffold7.702273_706449.4176	2		16
13	Jockey_3.Y_scaffold7.689813_692269.2456	2		21
14	Jockey_3.Y_scaffold7.693974_696430.2456	2		21
15	Jockey_3.Y_scaffold7.698120_700579.2459	2		21
16	Jockey_3.Y_Contig26.128674_130879.2205	2		22
17	G2.Y_Contig26.77947_79030.1083__reversed_	4		22
18	G2.Y_Contig26.116340_117458.1118__reversed_	4		22
19	G2.Y_Contig26.50098_51127.1029__reversed_	4		22
20	G2.Y_Contig26.51160_52825.1665__reversed_	4		22
21	G2.Y_Contig26.64226_65893.1667__reversed_	4		22
22	G2.Y_Contig26.66861_68529.1668__reversed_	4		22
23	G2.Y_Contig26.62075_63185.1110__reversed_	4		22
24	G2.Y_Contig26.56700_57824.1124__reversed_	4		22
25	G2.Y_Contig26.48019_49139.1120__reversed_	4		22
26	G2.3R_5.52819_54474.1655__reversed_	4		22
27	G2.3R_5.46497_48181.1684__reversed_	4		22
28	G2.tig00022795.28714_29723.1009	4		21
29	G2.Contig11.34120_37416.3296	4		16
30	Jockey_3.Y_Contig26.79405_83323.3918	2		15
31	G2.2R_21.21088230_21090148.1918	4		21
32	Jockey_3.Contig49.19161_23354.4193	2		16
33	Jockey_3.Y_scaffold7.19162_21672.2510	2		21
34	G2.Contig150.103195_104914.1719	4		21
35	G2.2L_1.11365844_11368209.2365	4		21
36	G2.Y_scaffold7.21671_23280.1609	4		21
37	Jockey_3.Contig150.100845_103199.2354	2		21
38	G2.2L_1.13650161_13651288.1127__reversed_	4		21
39	G2.3R_28.3954386_3957417.3031__reversed_	4		16
40	Jockey_3.3_scaffold1.80797_82605.1808__reversed_	2		21
41	Jockey_3.Y_Contig26.73829_77220.3391	2		15
42	G2.Y_scaffold5.341451_344514.3063	4		16
43	G2.Y_Contig26.12007_15383.3376	4		15
44	Jockey_3.Y_Contig26.6769_8366.1597	2		22
45	Jockey_3.Y_Contig26.18602_22713.4111	2		15
46	G2.Y_Contig26.2694_3875.1181	4		22
47	Jockey_3.3_scaffold1.82592_83966.1374__reversed_	2		21
48	Jockey_3.Y_Contig20.263473_267507.4034__reversed_	2		16
49	Jockey_3.Y_Contig20.256758_260792.4034__reversed_	2		16
50	G2.Y_Contig20.268100_270147.2047__reversed_	4		21
51	G2.2L_1.20255614_20258686.3072__reversed_	4		16
52	G2.Y_Contig26.24031_26576.2545__reversed_	4		22
53	Jockey_3.Y_Contig26.27738_31924.4186__reversed_	2		15
54	G2.Y_Contig26.36447_39892.3445__reversed_	4		15
55	G2.Y_Contig17.75685_79024.3339	4		16
56	G2.Contig95.3783_5071.1288	4		21
57	G2.Contig95.753_2033.1280	4		21
58	Jockey_3.Y_Contig20.270133_271863.1730__reversed_	2		21
59	Jockey_3.Y_Contig26.88266_91914.3648__reversed_	2		15
60	Jockey_3.Y_Contig26.93296_97481.4185__reversed_	2		15
61	Jockey_3.Y_Contig26.83323_86411.3088__reversed_	2		15
62	Jockey_3.X_10.42106_45815.3709__reversed_	2		16
63	G2.2R_20.1819964_1821059.1095__reversed_	4		21
64	Jockey_3.Contig5.113194_116983.3789	2		16
65	Jockey_3.Contig5.70390_74180.3790	2		16
66	G2.Y_Contig26.43613_45220.1607__reversed_	4		22
67	G2.Y_Contig26.40805_42451.1646__reversed_	4		22
68	Jockey_3.Y_scaffold5.346888_348945.2057	2		21
69	G2.Y_Contig70.11174_13687.2513	4		21
70	G2.Y_Contig70.16542_18423.1881	4		21
71	G2.Y_Contig70.9234_10811.1577__reversed_	4		21
72	G2.Y_Contig70.14561_16179.1618__reversed_	4		21
73	G2.Contig79.6012_7190.1178	4		22
74	G2.Contig79.42512_44652.2140__reversed_	4		22
75	G2.Contig79.10830_12679.1849__reversed_	4		22
76	Jockey_3.Contig119.64540_66131.1591__reversed_	2		22
77	Jockey_3.Contig119.48611_51184.2573	2		22
78	G2.Contig119.58080_59416.1336__reversed_	4		22
79	G2.Y_scaffold5.349854_351296.1442	4		21
80	G2.2R_18.665528_668929.3401__reversed_	4		16
81	G2.2L_2.121853_122991.1138	4		21
82	G2.Y_Contig10.362895_363983.1088	4		21
83	G2.Y_Contig10.340998_343846.2848	4		16
84	G2.Y_Contig10.248773_249888.1115__reversed_	4		21
85	G2.Y_Contig10.241547_242605.1058__reversed_	4		21
86	G2.Y_Contig10.312111_314979.2868	4		16
87	G2.Y_Contig10.363987_365070.1083	4		21
88	G2.Y_Contig10.321605_322552.947	4		21
89	G2.Y_Contig10.386825_387768.943	4		21
90	G2.2R_20.1275289_1276847.1558	4		21
91	G2.X_7.135045_136795.1750__reversed_	4		21
92	Jockey_3_Dyak	0	yak	
93	Jockey_3.2L_1.20193358_20194686.1328__reversed_	2		21
94	Jockey_3.2L_1.20248094_20249401.1307__reversed_	2		21
95	G2.2L_1.20246639_20247585.946__reversed_	4		21
96	Jockey_3_Dsec	3		16
