Transposon	position	bdgp_1	bdgp_2	wt_1	wt_2
G2_DM	1	0	0	0	0
G2_DM	2	0	0	0	0
G2_DM	3	0	0	0	0
G2_DM	4	0	2	0	0
G2_DM	5	0	2	0	0
G2_DM	6	0	2	0	0
G2_DM	7	0	2	1	0
G2_DM	8	1	2	1	0
G2_DM	9	1	2	1	0
G2_DM	10	1	2	1	0
G2_DM	11	1	2	1	0
G2_DM	12	1	2	1	0
G2_DM	13	1	2	1	0
G2_DM	14	1	2	1	0
G2_DM	15	1	2	1	0
G2_DM	16	1	2	1	0
G2_DM	17	1	3	1	0
G2_DM	18	1	3	1	0
G2_DM	19	1	3	1	0
G2_DM	20	1	3	1	0
G2_DM	21	1	3	1	0
G2_DM	22	1	3	1	0
G2_DM	23	1	3	1	0
G2_DM	24	1	3	1	0
G2_DM	25	1	3	1	0
G2_DM	26	1	3	1	0
G2_DM	27	1	3	1	0
G2_DM	28	1	3	3	0
G2_DM	29	2	3	3	0
G2_DM	30	2	3	3	0
G2_DM	31	2	3	3	0
G2_DM	32	2	3	3	0
G2_DM	33	2	3	3	0
G2_DM	34	2	3	3	0
G2_DM	35	2	3	3	0
G2_DM	36	2	3	3	0
G2_DM	37	2	3	3	0
G2_DM	38	2	3	3	0
G2_DM	39	2	3	3	0
G2_DM	40	2	3	3	0
G2_DM	41	2	3	3	0
G2_DM	42	2	3	3	0
G2_DM	43	2	3	3	0
G2_DM	44	2	3	3	0
G2_DM	45	2	3	3	0
G2_DM	46	2	3	3	0
G2_DM	47	2	3	3	1
G2_DM	48	2	3	3	1
G2_DM	49	2	3	3	1
G2_DM	50	2	3	3	1
G2_DM	51	2	3	3	1
G2_DM	52	2	3	3	1
G2_DM	53	2	3	3	1
G2_DM	54	2	3	3	1
G2_DM	55	2	3	3	1
G2_DM	56	2	3	3	2
G2_DM	57	2	3	3	2
G2_DM	58	2	3	3	2
G2_DM	59	2	3	3	2
G2_DM	60	2	3	3	2
G2_DM	61	2	3	4	2
G2_DM	62	2	3	4	2
G2_DM	63	2	3	4	2
G2_DM	64	2	4	4	2
G2_DM	65	2	4	4	2
G2_DM	66	2	4	4	2
G2_DM	67	2	4	4	2
G2_DM	68	2	4	4	2
G2_DM	69	2	5	4	2
G2_DM	70	2	5	4	2
G2_DM	71	2	5	4	2
G2_DM	72	2	5	4	2
G2_DM	73	2	5	4	4
